#All ISO 639-1 codes. From Wikipedia : http://en.wikipedia.org/wiki/List_of_ISO_639-1_codes
aa	Afaraf
ab	аҧсуа 
ae	avesta
af	Afrikaans
ak	Akan
am	Amharic
an	Aragonés
ar	العربية
as	Assamese
av	авар мацӀ, магӀарул мацӀ
ay	aymar aru
az	azərbaycan dili
ba	башҡорт теле
be	Беларуская
bg	български език
bh	भोजपुरी
bi	Bislama
bm	bamanankan
bn	Bengali
bo	Tibetan
br	brezhoneg
bs	bosanski jezik
ca	Català
ce	нохчийн мотт
ch	Chamoru
co	Corsu
cr	Cree
cs	česky, čeština
cu	ѩзыкъ словѣньскъ
cv	чӑваш чӗлхи
cy	Cymraeg
da	Dansk
de	Deutsch
dv	Divehi, Dhivehi, Maldivian
dz	Dzongkha
ee	Eʋegbe
el	Ελληνικά
en	English
eo	Esperanto
es	Español
et	eesti, eesti keel
eu	Euskara, euskera
fa	فارسی
ff	Fulfulde, Pulaar, Pular
fi	suomi, suomen kieli
fj	vosa Vakaviti
fo	føroyskt
fr	Français
fy	Frysk
ga	Gaeilge
gd	Gàidhlig
gl	Galego
gn	Avañe'ẽ
gu	ગુજરાતી
gv	Gaelg, Gailck
ha	Hausa, هَوُسَ
he	עברית
hi	हिन्दी, हिंदी
ho	Hiri Motu
hr	hrvatski
ht	Kreyòl ayisyen
hu	Magyar
hy	Հայերեն
hz	Otjiherero
ia	Interlingua
id	Bahasa Indonesia
ie	Interlingue
ig	Asụsụ Igbo
ii	Nuosu
ik	Iñupiaq, Iñupiatun
io	Ido
is	Íslenska
it	Italiano
iu	Inuktitut
ja	日本語
jv	basa Jawa
ka	ქართული
kg	KiKongo
ki	Gĩkũyũ
kj	Kuanyama
kk	Қазақ тілі
kl	kalaallisut, kalaallit oqaasii
km	Khmer
kn	ಕನ್ನಡ
ko	한국어 (韓國語), 조선말 (朝鮮語)
kr	Kanuri
ks	कश्मीरी, كشميري‎
ku	Kurdî, كوردی‎
kv	коми кыв
kw	Kernewek
ky	кыргыз тили
la	latine
lb	Lëtzebuergesch
lg	Luganda
li	Limburgs
ln	Lingála
lo	Lao
lt	lietuvių kalba
lu	Luba-Katanga
lv	latviešu valoda
mg	Malagasy fiteny
mh	Kajin M̧ajeļ
mi	te reo Māori
mk	македонски јазик
ml	Malayalam
mn	монгол
mr	मराठी
ms	bahasa Melayu, بهاس ملايو‎
mt	Malti
my	Burmese
na	Ekakairũ Naoero
nb	Norsk bokmål
nd	isiNdebele
ne	नेपाली
ng	Owambo
nl	Nederlands, Vlaams
nn	Norsk nynorsk
no	Norsk
nr	isiNdebele
nv	Diné bizaad, Dinékʼehǰí
ny	chiCheŵa, chinyanja
oc	Occitan
oj	Ojibwe, Ojibwa
om	Afaan Oromoo
or	Oriya
os	ирон æвзаг
pa	ਪੰਜਾਬੀ, پنجابی‎
pi	पाऴि
pl	Polski
ps	پښتو
pt	Português
qu	Runa Simi, Kichwa
rm	rumantsch grischun
rn	kiRundi
ro	română
ru	русский язык
rw	Ikinyarwanda
sa	संस्कृतम्
sc	sardu
sd	सिन्धी, سنڌي، سندھی‎
se	Davvisámegiella
sg	yângâ tî sängö
si	Sinhala, Sinhalese
sk	slovenčina
sl	slovenščina
sm	gagana fa'a Samoa
sn	chiShona
so	Soomaaliga, af Soomaali
sq	Shqip
sr	српски језик
ss	SiSwati
st	Sesotho
su	Basa Sunda
sv	svenska
sw	Kiswahili
ta	தமிழ்
te	తెలుగు
tg	Tajik
th	ไทย
ti	Tigrinya
tk	Türkmen, Түркмен
tl	Tagalog
tn	Setswana
to	faka Tonga
tr	Türkçe
ts	Xitsonga
tt	татарча, tatarça, تاتارچا‎
tw	Twi
ty	Reo Tahiti
ug	Uyƣurqə, ئۇيغۇرچە‎
uk	українська
ur	اردو
uz	O'zbek, Ўзбек, أۇزبېك‎
ve	Tshivenḓa
vi	Tiếng Việt
vo	Volapük
wa	Walon
wo	Wollof
xh	isiXhosa
yi	ייִדיש
yo	Yorùbá
za	Saɯ cueŋƅ, Saw cuengh
zh	中文 (Zhōngwén), 汉语, 漢語
zu	isiZulu
